ID,property_scope,availability,location,size,total_sqft,bath,balcony,buying or not buying,BER,Renovation needed,price-per-sqft-$
11019,Land Parcel,Immediate Possession,Dun Laoghaire,,1200 - 1800,,,Yes,A,No,
11020,Extended Coverage,18-Aug,Fingal,2 BED,1232,2,1,No,D,Yes,641.2930195
11021,Extended Coverage,Ready To Move,DCC,3 BED,1704,3,2,No,C,Maybe,628.5129108
11022,Constructed Space,Ready To Move,Fingal,3 BED,1275,2,2,No,E,Yes,783.372549
11023,Extended Coverage,Ready To Move,Dun Laoghaire,3 BED,1222,2,1,No,D,Yes,631.5875614
11024,Extended Coverage,Ready To Move,DCC,2 BED,1155,2,2,No,B,Maybe,383.2467532
11025,Extended Coverage,18-Apr,Dun Laoghaire,2 BED,1000,2,1,Yes,D,Yes,339.932
11026,Extended Coverage,Ready To Move,South Dublin,2 BED,1200,2,1,No,E,Yes,425.625
11027,Extended Coverage,19-Dec,Dun Laoghaire,3 BED,1517,3,2,Yes,B,Maybe,533.3078444
11028,Extended Coverage,18-May,Fingal,2 BED,1166,2,1,Yes,C,Maybe,362.9854202
11029,Constructed Space,Ready To Move,Dun Laoghaire,2 BED,870,2,2,Yes,A,No,313.1034483
11030,Extended Coverage,Ready To Move,Fingal,5 BED,4000,5,2,No,E,Yes,482.375
11031,Land Parcel,Ready To Move,Fingal,4 Bedroom,1350,4,1,No,E,Yes,1933.703704
11032,Extended Coverage,Ready To Move,Dun Laoghaire,4 BED,3019,6,,Yes,B,Maybe,714.309374
11033,Extended Coverage,Ready To Move,Dun Laoghaire,3 BED,1345,3,1,No,C,Maybe,489.4423792
11034,Land Parcel,Ready To Move,South Dublin,3 Bedroom,900,3,1,No,B,Maybe,945.8333333
11035,Extended Coverage,Ready To Move,South Dublin,4 BED,3800,5,2,No,E,Yes,507.7631579
11036,Extended Coverage,Ready To Move,Fingal,3 BED,971,2,2,No,G,Yes,444.1812564
11037,Extended Coverage,Ready To Move,DCC,2 BED,1255,2,1,No,D,Yes,473.1729084
11038,Constructed Space,Ready To Move,South Dublin,2 BED,1810,2,2,No,C,Maybe,407.5966851
11039,Constructed Space,Ready To Move,Fingal,2 BED,1300,2,1,No,B,Maybe,506.3846154
11040,Extended Coverage,Ready To Move,Dun Laoghaire,2 BED,1185,2,2,No,F,Yes,431.0126582
11041,Extended Coverage,Ready To Move,South Dublin,2 BED,1350,2,3,No,E,Yes,571.7037037
11042,Extended Coverage,20-Jun,DCC,3 BED,1510 - 1670,3,0,No,D,Yes,
11043,Extended Coverage,Ready To Move,South Dublin,7 BED,3000,6,3,No,F,Yes,681
11044,Land Parcel,Ready To Move,DCC,4 Bedroom,1560,3,2,No,E,Yes,1084.070513
11045,Extended Coverage,Ready To Move,South Dublin,3 BED,1650,3,,Yes,C,Maybe,866.7272727
11046,Extended Coverage,Ready To Move,Other,3 BED,1645,3,2,No,G,Yes,600.2735562
11047,Extended Coverage,Ready To Move,Fingal,3 BED,1748,3,,No,D,Yes,668.7929062
11048,Land Parcel,18-Nov,Fingal,3 Bedroom,1200,3,1,No,D,Yes,640.9908333
11049,Constructed Space,Ready To Move,Fingal,2 BED,1170,2,3,No,A,No,485.042735
11050,Constructed Space,Ready To Move,Dun Laoghaire,4 BED,3420,4,2,No,F,Yes,746.7105263
11051,Constructed Space,Ready To Move,DCC,3 BED,1320,2,2,No,B,Maybe,558.9015152
11052,Extended Coverage,18-Jul,DCC,3 BED,1610,3,2,No,B,Maybe,595.9099379
11053,Extended Coverage,Ready To Move,Fingal,3 BED,1870,3,3,No,D,Yes,1092.513369
11054,Extended Coverage,Ready To Move,Dun Laoghaire,3 BED,1510,2,1,No,F,Yes,826.8211921
11055,Constructed Space,Ready To Move,Fingal,6 Bedroom,2700,7,3,No,G,Yes,462.4074074
11056,Extended Coverage,Ready To Move,Other,3 BED,1305,2,1,No,G,Yes,397.2934866
11057,Extended Coverage,Ready To Move,Fingal,3 BED,1500,2,1,Yes,A,No,529.6666667
11058,Extended Coverage,Ready To Move,DCC,2 BED,1149,2,1,No,D,Yes,1284.160139
11059,Constructed Space,Ready To Move,Dun Laoghaire,4 BED,1948,4,2,Yes,A,No,751.6170431
11060,Land Parcel,Ready To Move,South Dublin,3 Bedroom,1448,3,1,No,B,Maybe,548.6878453
11061,Extended Coverage,Ready To Move,Dun Laoghaire,2 BED,1242,2,1,No,C,Maybe,712.8019324
11062,Extended Coverage,Ready To Move,South Dublin,2 BED,1268,2,1,No,F,Yes,519.1640379
11063,Extended Coverage,Ready To Move,DCC,2 BED,1101,2,1,No,F,Yes,515.4405086
11064,Extended Coverage,Ready To Move,Fingal,2 BED,1255,2,3,No,F,Yes,587.8486056
11065,Extended Coverage,Ready To Move,South Dublin,3 BED,1362,3,1,No,E,Yes,521.9162996
11066,Extended Coverage,Ready To Move,Dun Laoghaire,3 BED,984,3,2,Yes,G,Yes,1614.837398
11067,Extended Coverage,18-May,DCC,2 BED,1089,2,1,No,C,Maybe,340.4995409
11068,Constructed Space,Ready To Move,Fingal,2 BED,800,1,3,No,F,Yes,1347.8125
11069,Extended Coverage,Ready To Move,Dun Laoghaire,3 BED,1345,2,1,No,E,Yes,481.0037175
11070,Land Parcel,Ready To Move,Dun Laoghaire,8 Bedroom,3600,9,3,No,C,Maybe,394.0972222
11071,Land Parcel,Ready To Move,Fingal,4 Bedroom,1650,2,1,No,E,Yes,963.030303
11072,Extended Coverage,Ready To Move,South Dublin,2 BED,950,2,1,No,C,Maybe,537.6315789
11073,Extended Coverage,Ready To Move,South Dublin,2 BED,1068,2,1,No,D,Yes,456.9756554
11074,Constructed Space,Ready To Move,Fingal,2 BED,860,1,2,Yes,C,Maybe,409.127907
11075,Constructed Space,Ready To Move,DCC,8 Bedroom,3000,5,,Yes,E,Yes,491.8333333
11076,Extended Coverage,Ready To Move,Dun Laoghaire,3 BED,1756,3,2,Yes,D,Yes,431.3126424
11077,Extended Coverage,Ready To Move,Dun Laoghaire,2 BED,1205,2,1,Yes,F,Yes,386.1825726
11078,Land Parcel,Ready To Move,DCC,8 Bedroom,1120,8,,Yes,A,No,1570.758929
11079,Extended Coverage,Ready To Move,DCC,3 BED,1800,3,2,No,A,No,788.1944444
11080,Extended Coverage,18-Jan,Fingal,4 BED,8321,5,2,No,B,Maybe,3972.022593
11081,Constructed Space,Ready To Move,DCC,3 BED,1604,3,0,Yes,C,Maybe,481.1720698
11082,Extended Coverage,18-May,Fingal,4 BED,2732,4,3,No,F,Yes,847.510981
11083,Extended Coverage,18-Dec,Fingal,2 BED,1015,2,2,Yes,C,Maybe,289.3970443
11084,Extended Coverage,Ready To Move,DCC,3 BED,1200,2,2,Yes,F,Yes,397.25
11085,Extended Coverage,Ready To Move,Fingal,2 BED,1010,2,2,No,G,Yes,427.029703
11086,Constructed Space,Ready To Move,DCC,2 Bedroom,1250,3,0,No,C,Maybe,1543.6
11087,Extended Coverage,Ready To Move,South Dublin,2 BED,1010,2,1,Yes,A,No,460.7425743
11088,Extended Coverage,Ready To Move,Dun Laoghaire,2 BED,1050,2,2,No,D,Yes,357.7952381
11089,Extended Coverage,Ready To Move,DCC,3 BED,1710,3,2,Yes,G,Yes,564.1812865
11090,Extended Coverage,19-Jan,DCC,3 BED,1248.52,3,2,No,C,Maybe,1045.437798
11091,Constructed Space,Ready To Move,Fingal,1 BED,410,1,1,Yes,A,No,276.8292683
11092,Extended Coverage,18-Oct,Fingal,3 BED,1656,2,1,No,E,Yes,431.3134058
11093,Extended Coverage,Ready To Move,South Dublin,3 BED,1451,3,1,Yes,A,No,531.9090283
11094,Extended Coverage,Ready To Move,South Dublin,6 BED,1200,3,0,Yes,E,Yes,1655.208333
11095,Extended Coverage,Ready To Move,DCC,2 BED,1250,2,2,No,G,Yes,844.44
11096,Land Parcel,Ready To Move,Fingal,3 Bedroom,4395,3,3,Yes,B,Maybe,619.7952218
11097,Extended Coverage,Ready To Move,Dun Laoghaire,4 BED,4600,6,2,Yes,B,Maybe,1603.804348
11098,Constructed Space,Ready To Move,South Dublin,3 BED,1340,2,3,No,C,Maybe,355.7462687
11099,Extended Coverage,Ready To Move,Fingal,2 BED,1100,2,2,No,C,Maybe,397.25
11100,Extended Coverage,Ready To Move,Dun Laoghaire,4 BED,6000,6,,Yes,G,Yes,1324.166667
11101,Extended Coverage,Ready To Move,South Dublin,3 BED,1700,3,1,No,D,Yes,474.0294118
11102,Land Parcel,Ready To Move,Dun Laoghaire,6 Bedroom,1200,5,0,Yes,B,Maybe,1418.75
11103,Extended Coverage,Ready To Move,DCC,2 BED,1096,2,1,No,C,Maybe,445.3010949
11104,Extended Coverage,18-May,Fingal,2 BED,1160,2,1,No,C,Maybe,327.7801724
11105,Constructed Space,Ready To Move,Fingal,3 BED,1936,3,2,No,A,No,814.9018595
11106,Extended Coverage,Ready To Move,South Dublin,3 BED,1269,2,2,No,F,Yes,563.4751773
11107,Extended Coverage,19-Dec,Other,3 BED,3500,3,1,No,B,Maybe,2043
11108,Extended Coverage,18-May,DCC,3 BED,1586,3,1,No,C,Maybe,894.5460277
11109,Extended Coverage,18-Jul,Fingal,2 BED,1376,2,1,No,A,No,1022.819767
11110,Extended Coverage,Ready To Move,Dun Laoghaire,3 BED,1452,3,3,No,G,Yes,441.649449
11111,Extended Coverage,18-Aug,DCC,3 BED,1538,3,1,No,D,Yes,789.6293888
11112,Extended Coverage,18-May,DCC,3 BED,1427,2,1,No,C,Maybe,1033.987386
11113,Constructed Space,Ready To Move,Fingal,2 BED,935,2,0,No,B,Maybe,485.5614973
11114,Constructed Space,Ready To Move,Fingal,2 BED,1220,2,3,Yes,D,Yes,604.7131148
11115,Extended Coverage,Ready To Move,DCC,2 BED,1197,2,1,No,F,Yes,730.1169591
11116,Extended Coverage,18-Dec,DCC,2 BED,674,1,1,No,E,Yes,335.1097923
11117,Constructed Space,Ready To Move,DCC,1 BED,410,1,1,No,A,No,415.2439024
11118,Constructed Space,18-Apr,Dun Laoghaire,3 BED,1573,3,1,No,E,Yes,649.3960585
11119,Extended Coverage,Ready To Move,South Dublin,2 BED,1135,2,2,Yes,F,Yes,580
11120,Constructed Space,18-Dec,Fingal,3 BED,1400,2,1,No,F,Yes,327.7714286
11121,Extended Coverage,Ready To Move,Fingal,1 BED,1200,1,0,No,B,Maybe,614.7916667
11122,Land Parcel,Ready To Move,Fingal,3 Bedroom,1800,3,0,No,G,Yes,599.0277778
11123,Constructed Space,Ready To Move,Fingal,3 BED,2045,3,2,No,B,Maybe,599.4132029
11124,Extended Coverage,Ready To Move,South Dublin,2 BED,1268,2,1,Yes,E,Yes,501.2618297
11125,Extended Coverage,Ready To Move,South Dublin,2 BED,883,2,1,Yes,F,Yes,501.3023783
11126,Extended Coverage,Ready To Move,Dun Laoghaire,3 BED,1600,3,3,No,G,Yes,709.375
11127,Extended Coverage,Ready To Move,Dun Laoghaire,2 BED,1056,2,2,Yes,F,Yes,752.3674242
11128,Land Parcel,Ready To Move,DCC,10 Bedroom,1200,11,,Yes,C,Maybe,993.125
11129,Land Parcel,Ready To Move,Dun Laoghaire,4 Bedroom,4500,4,,No,F,Yes,832.3333333
11130,Extended Coverage,Ready To Move,DCC,2 BED,1204,2,2,No,F,Yes,546.7607973
11131,Extended Coverage,Ready To Move,Fingal,3 BED,1410,2,1,Yes,A,No,434.6808511
11132,Constructed Space,Ready To Move,Fingal,2 BED,1460,2,1,No,C,Maybe,624.25
11133,Extended Coverage,Ready To Move,South Dublin,2 BED,1100,2,1,No,D,Yes,424.9027273
11134,Extended Coverage,Ready To Move,Fingal,2 BED,1310,2,1,No,E,Yes,762.4427481
11135,Extended Coverage,Ready To Move,South Dublin,3 BED,1600,3,2,Yes,C,Maybe,638.4375
11136,Extended Coverage,Ready To Move,Fingal,2 BED,1250,2,2,No,B,Maybe,499.4
11137,Extended Coverage,Ready To Move,Dun Laoghaire,3 BED,1665,3,2,Yes,A,No,510.7837838
11138,Extended Coverage,Ready To Move,Dun Laoghaire,3 BED,1345,2,1,No,D,Yes,481.0037175
11139,Constructed Space,Ready To Move,Fingal,5 Bedroom,2000,5,2,Yes,B,Maybe,1362
11140,Extended Coverage,Ready To Move,South Dublin,2 BED,1416,2,2,Yes,A,No,537.0409605
11141,Extended Coverage,Ready To Move,DCC,2 BED,1145,2,2,No,D,Yes,455.9825328
11142,Constructed Space,Ready To Move,South Dublin,10 Bedroom,7200,10,3,No,E,Yes,315.2777778
11143,Constructed Space,Ready To Move,DCC,3 BED,1231,3,2,No,D,Yes,534.7684809
11144,Extended Coverage,Ready To Move,Dun Laoghaire,3 BED,1664,3,0,No,C,Maybe,504.40625
11145,Constructed Space,Ready To Move,DCC,3 Bedroom,2000,3,1,No,E,Yes,431.3
11146,Constructed Space,Ready To Move,South Dublin,2 BED,972,2,2,Yes,A,No,502.1090535
11147,Constructed Space,Ready To Move,Fingal,4 BED,4500,4,3,No,A,No,870.1666667
11148,Extended Coverage,Ready To Move,DCC,2 BED,1185,2,1,No,C,Maybe,453.9037975
11149,Constructed Space,Ready To Move,Fingal,3 BED,1750,3,2,No,D,Yes,525.3428571
11150,Constructed Space,Ready To Move,Fingal,3 BED,3155,4,,Yes,C,Maybe,1136.798732
11151,Extended Coverage,18-Dec,DCC,2 BED,1007,2,1,No,B,Maybe,766.4349553
11152,Extended Coverage,Ready To Move,Fingal,3 BED,1700,3,2,Yes,F,Yes,1335.294118
11153,Extended Coverage,Ready To Move,Dun Laoghaire,2 BED,1250,2,2,Yes,E,Yes,771.8
11154,Extended Coverage,Ready To Move,Fingal,2 BED,1200,2,1,Yes,G,Yes,510.75
11155,Extended Coverage,18-Aug,Fingal,2 BED,994,2,1,No,A,No,482.7746479
11156,Extended Coverage,18-Apr,DCC,2 BED,1150,2,2,No,C,Maybe,394.7826087
11157,Extended Coverage,Ready To Move,Dun Laoghaire,2 BED,1220,2,2,Yes,A,No,427.9508197
11158,Extended Coverage,Ready To Move,Fingal,2 BED,1441,2,1,No,E,Yes,905.7945871
11159,Extended Coverage,19-Mar,DCC,2 BED,1157,2,2,No,A,No,464.2022472
11160,Extended Coverage,Ready To Move,Fingal,6 BED,1300,6,3,No,F,Yes,1309.615385
11161,Extended Coverage,Ready To Move,DCC,2 BED,1400,2,2,No,A,No,851.25
11162,Constructed Space,Ready To Move,South Dublin,3 BED,1370.07,3,1,No,B,Maybe,538.4761363
11163,Land Parcel,Ready To Move,South Dublin,5 Bedroom,1200,4,1,No,C,Maybe,1229.583333
11164,Extended Coverage,20-Dec,South Dublin,2 BED,900,2,1,Yes,A,No,504.4444444
11165,Extended Coverage,Ready To Move,Fingal,1 BED,418,1,1,No,B,Maybe,461.6028708
11166,Land Parcel,Ready To Move,Fingal,3 Bedroom,1200,3,1,No,C,Maybe,756.6666667
11167,Constructed Space,Ready To Move,South Dublin,2 BED,1200,2,3,Yes,A,No,406.7083333
11168,Extended Coverage,Ready To Move,Fingal,2 BED,1062,2,1,No,A,No,453.9990584
11169,Extended Coverage,Ready To Move,Dun Laoghaire,2 BED,1120,2,1,No,F,Yes,516.8303571
11170,Extended Coverage,Ready To Move,Fingal,2 BED,1012,2,1,No,E,Yes,493.4782609
11171,Land Parcel,Ready To Move,Fingal,3 Bedroom,1500,2,1,No,B,Maybe,1513.333333
11172,Constructed Space,Ready To Move,South Dublin,4 Bedroom,950,4,,No,E,Yes,2150.526316
11173,Extended Coverage,Ready To Move,Fingal,2 BED,675,2,2,No,F,Yes,227
11174,Extended Coverage,Ready To Move,Dun Laoghaire,2 BED,1430,2,2,Yes,A,No,619.0909091
11175,Extended Coverage,Ready To Move,Fingal,3 BED,1195,2,1,Yes,D,Yes,531.8828452
11176,Extended Coverage,Ready To Move,DCC,3 BED,2640,5,1,No,E,Yes,644.8863636
11177,Extended Coverage,Ready To Move,DCC,3 BED,1075,2,1,Yes,A,No,443.4418605
11178,Extended Coverage,18-Sep,Fingal,3 BED,1550 - 1590,3,0,No,C,Maybe,
11179,Land Parcel,Ready To Move,South Dublin,6 Bedroom,782,4,2,No,D,Yes,1233.695652
11180,Constructed Space,18-Feb,South Dublin,2 BED,1011,2,1,No,D,Yes,662.363996
11181,Extended Coverage,Ready To Move,Fingal,3 BED,1450,2,1,No,B,Maybe,798.4137931
11182,Extended Coverage,Ready To Move,Dun Laoghaire,2 BED,1129,2,1,Yes,G,Yes,693.6669619
11183,Extended Coverage,Ready To Move,South Dublin,2 BED,1126,2,1,No,B,Maybe,362.8774423
11184,Land Parcel,18-Dec,Fingal,3 Bedroom,1200,3,,No,B,Maybe,1040.416667
11185,Extended Coverage,Ready To Move,Dun Laoghaire,3 BED,1180,2,2,No,G,Yes,432.8389831
11186,Land Parcel,Ready To Move,Fingal,3 Bedroom,600,4,2,Yes,C,Maybe,2364.583333
11187,Land Parcel,18-Apr,South Dublin,4 Bedroom,940,4,2,Yes,A,No,543.3510638
11188,Extended Coverage,Ready To Move,Fingal,3 BED,1933,3,2,Yes,D,Yes,822.0382825
11189,Constructed Space,Ready To Move,DCC,2 BED,1082,2,2,No,D,Yes,671.349353
11190,Land Parcel,Ready To Move,South Dublin,8 Bedroom,2400,8,1,No,F,Yes,1182.291667
11191,Extended Coverage,19-Dec,Fingal,1 BED,610,1,0,No,B,Maybe,520.9836066
11192,Land Parcel,Ready To Move,Fingal,4 Bedroom,1560,4,1,No,F,Yes,1164.102564
11193,Extended Coverage,Ready To Move,South Dublin,3 BED,1300,3,3,No,G,Yes,680.9123077
11194,Constructed Space,Ready To Move,Fingal,4 Bedroom,3850,6,0,No,A,No,604.3506494
11195,Constructed Space,Ready To Move,Fingal,2 BED,1125,2,1,No,C,Maybe,464.0888889
11196,Land Parcel,Ready To Move,Fingal,6 Bedroom,2400,7,2,No,F,Yes,506.0208333
11197,Extended Coverage,Ready To Move,Fingal,2 BED,777.4,2,0,Yes,D,Yes,364.9987137
11198,Extended Coverage,Ready To Move,South Dublin,4 BED,2500,3,1,No,C,Maybe,295.1
11199,Extended Coverage,Ready To Move,Fingal,3 BED,1798,3,,No,G,Yes,946.8854283
11200,Constructed Space,Ready To Move,Fingal,3 BED,1864,3,2,Yes,G,Yes,730.6866953
11201,Extended Coverage,Ready To Move,Dun Laoghaire,2 BED,1115,2,1,No,F,Yes,528.4107623
11202,Extended Coverage,Ready To Move,DCC,1 BED,400,1,1,No,B,Maybe,709.375
11203,Extended Coverage,Ready To Move,Fingal,2 BED,1200,2,1,No,D,Yes,662.0833333
11204,Extended Coverage,18-May,Fingal,2 BED,992,2,2,No,G,Yes,283.75
11205,Constructed Space,Ready To Move,Fingal,2 BED,950,2,3,No,B,Maybe,681
11206,Land Parcel,Ready To Move,Fingal,4 Bedroom,1500,4,3,No,G,Yes,1399.833333
11207,Extended Coverage,Ready To Move,DCC,2 BED,1200,2,1,No,F,Yes,586.4166667
11208,Constructed Space,Ready To Move,South Dublin,3 BED,1735,3,2,No,E,Yes,457.925072
11209,Constructed Space,Ready To Move,South Dublin,3 BED,1750,3,3,No,C,Maybe,1115.542857
11210,Extended Coverage,Ready To Move,DCC,2 BED,1009,2,2,No,A,No,629.9306244
11211,Extended Coverage,Ready To Move,DCC,3 BED,1470,2,3,No,D,Yes,787.5510204
11212,Extended Coverage,Ready To Move,Fingal,3 BED,1527,3,2,Yes,C,Maybe,854.7806156
11213,Constructed Space,Ready To Move,Fingal,2 BED,985,2,1,Yes,A,No,518.5279188
11214,Constructed Space,Ready To Move,Fingal,4 Bedroom,3300,4,2,No,C,Maybe,464.3181818
11215,Extended Coverage,18-Jun,Dun Laoghaire,2 BED,1277,2,1,No,C,Maybe,684.3774471
11216,Extended Coverage,18-May,Fingal,2 BED,1100,2,1,No,B,Maybe,639.7272727
11217,Extended Coverage,Ready To Move,Dun Laoghaire,3 BED,1820,3,2,No,C,Maybe,873.0769231
11218,Extended Coverage,Ready To Move,Fingal,4 BED,1530,3,3,No,F,Yes,645.3921569
11219,Extended Coverage,Ready To Move,DCC,3 BED,1886,3,2,No,C,Maybe,1233.695652
11220,Land Parcel,Ready To Move,Fingal,3 Bedroom,1200,2,0,No,G,Yes,1797.083333
11221,Extended Coverage,Ready To Move,DCC,3 BED,1880,4,2,No,C,Maybe,664.0957447
11222,Extended Coverage,Ready To Move,DCC,2 BED,1255,2,2,No,C,Maybe,473.4438247
11223,Extended Coverage,21-Dec,Dun Laoghaire,2 BED,700,2,1,No,E,Yes,583.7142857
11224,Extended Coverage,Ready To Move,South Dublin,2 BED,1140,2,2,Yes,E,Yes,457.9824561
11225,Constructed Space,18-Aug,Fingal,2 BED,1025,2,1,Yes,A,No,327.7658537
11226,Constructed Space,Ready To Move,Dun Laoghaire,4 Bedroom,3453,4,2,Yes,F,Yes,811.8882131
11227,Extended Coverage,Ready To Move,Dun Laoghaire,3 BED,1490,2,2,No,E,Yes,454
11228,Land Parcel,Ready To Move,Fingal,4 Bedroom,1200,4,2,Yes,D,Yes,1560.625
11229,Extended Coverage,Ready To Move,Dun Laoghaire,3 BED,1850,3,2,No,C,Maybe,858.9189189
11230,Extended Coverage,Ready To Move,South Dublin,2 BED,1250,2,1,No,B,Maybe,708.24
11231,Extended Coverage,Ready To Move,Fingal,4 BED,2400,3,1,No,G,Yes,510.75
11232,Extended Coverage,Ready To Move,South Dublin,4 BED,3522,5,3,No,G,Yes,2307.382169
11233,Extended Coverage,18-Dec,DCC,2 BED,1244,2,2,No,E,Yes,802.8938907
11234,Land Parcel,Ready To Move,Fingal,4 Bedroom,623,4,1,No,B,Maybe,1366.372392
11235,Extended Coverage,18-Dec,Fingal,2 BED,1025,2,1,No,F,Yes,316.36
11236,Extended Coverage,Ready To Move,Dun Laoghaire,2 BED,1034,2,1,No,D,Yes,417.1179884
11237,Extended Coverage,18-Jan,Fingal,3 BED,1191,2,2,Yes,E,Yes,317.7237615
11238,Extended Coverage,Ready To Move,DCC,3 BED,1719,3,2,No,D,Yes,468.7899942
11239,Extended Coverage,Ready To Move,Fingal,2 BED,1035,2,1,No,C,Maybe,431.2995169
11240,Land Parcel,Ready To Move,South Dublin,4 Bedroom,1500,3,2,Yes,B,Maybe,1740.333333
11241,Extended Coverage,18-Dec,DCC,3 BED,1470,2,2,No,G,Yes,650.270068
11242,Extended Coverage,Ready To Move,Dun Laoghaire,2 BED,1140,2,1,No,C,Maybe,504.3780702
11243,Extended Coverage,Ready To Move,DCC,3 BED,1752.12,3,2,Yes,A,No,809.7333516
11244,Land Parcel,Ready To Move,South Dublin,6 Bedroom,600,6,2,Yes,A,No,1513.333333
11245,Land Parcel,Ready To Move,South Dublin,4 Bedroom,600,3,1,Yes,A,No,1589
11246,Extended Coverage,Ready To Move,DCC,3 BED,2990,3,2,No,D,Yes,645.3177258
11247,Extended Coverage,Ready To Move,Fingal,3 BED,1660,3,2,No,E,Yes,581.1746988
11248,Extended Coverage,Ready To Move,Dun Laoghaire,3 BED,1275,3,3,Yes,A,No,564.6509804
11249,Extended Coverage,18-Jun,South Dublin,3 BED,1365,3,1,No,G,Yes,439.1157509
11250,Land Parcel,Ready To Move,Other,3 Bedroom,1200,2,0,No,F,Yes,851.25
11251,Extended Coverage,Ready To Move,Dun Laoghaire,3 BED,2546,3,,No,E,Yes,757.8554595
11252,Extended Coverage,20-Oct,South Dublin,3 BED,1392,3,1,No,E,Yes,566.3577586
11253,Extended Coverage,18-Mar,Dun Laoghaire,2 BED,1245,2,1,Yes,E,Yes,544.8
11254,Constructed Space,Ready To Move,South Dublin,5 Bedroom,1200,3,1,No,C,Maybe,614.7916667
11255,Extended Coverage,Ready To Move,DCC,2 BED,1162,2,2,No,G,Yes,625.9104991
11256,Extended Coverage,Ready To Move,South Dublin,3 BED,1476,2,1,No,B,Maybe,561.3482385
11257,Constructed Space,Ready To Move,DCC,1 BED,700,1,1,No,F,Yes,348.6071429
11258,Constructed Space,Ready To Move,Fingal,6 Bedroom,3600,6,1,No,C,Maybe,535.9722222
11259,Constructed Space,Ready To Move,DCC,2 BED,943,2,2,No,A,No,577.7306469
11260,Land Parcel,Ready To Move,South Dublin,2 Bedroom,1150,2,1,No,G,Yes,1677.826087
11261,Extended Coverage,Ready To Move,Dun Laoghaire,2 BED,1113,2,1,Yes,B,Maybe,453.7960467
11262,Extended Coverage,20-Dec,DCC,3 BED,1615,3,2,No,D,Yes,487.9442724
11263,Extended Coverage,Ready To Move,Fingal,2 BED,1279,2,3,No,B,Maybe,887.4120407
11264,Extended Coverage,Ready To Move,Fingal,2 BED,1256,2,1,No,F,Yes,542.1974522
11265,Constructed Space,Ready To Move,South Dublin,3 BED,1805,3,2,No,D,Yes,1760.66482
11266,Constructed Space,Ready To Move,South Dublin,3 BED,1350,3,1,No,C,Maybe,546.4814815
11267,Extended Coverage,18-May,Fingal,3 BED,1525,3,2,No,G,Yes,510.7868852
11268,Extended Coverage,18-Aug,Fingal,2 BED,1357,2,1,Yes,F,Yes,1028.776713
11269,Extended Coverage,19-Mar,Dun Laoghaire,3 BED,1645,3,2,Yes,B,Maybe,807.2644377
11270,Extended Coverage,Ready To Move,South Dublin,3 BED,1777.26,3,2,Yes,B,Maybe,587.5336192
11271,Extended Coverage,Ready To Move,DCC,2 BED,845,2,2,No,B,Maybe,429.8224852
11272,Constructed Space,Ready To Move,Fingal,2 BED,900,2,0,No,G,Yes,315.2777778
11273,Extended Coverage,18-Sep,DCC,2 BED,1210,2,1,No,D,Yes,601.7371901
11274,Extended Coverage,19-Aug,Fingal,2 BED,829,2,1,No,E,Yes,312.159228
11275,Extended Coverage,Ready To Move,Dun Laoghaire,3 BED,1879,3,2,No,E,Yes,936.2692922
11276,Extended Coverage,17-Jun,DCC,3 BED,1250,2,2,Yes,G,Yes,454
11277,Constructed Space,Ready To Move,Other,4 Bedroom,1200,2,2,No,E,Yes,331.0416667
11278,Extended Coverage,19-Mar,Fingal,3 BED,1108,2,1,No,E,Yes,614.6209386
11279,Extended Coverage,18-Aug,Dun Laoghaire,3 BED,1401,3,2,Yes,C,Maybe,558.993576
11280,Extended Coverage,19-Oct,Dun Laoghaire,3 BED,1157,2,1,No,G,Yes,735.7389801
11281,Constructed Space,Ready To Move,Fingal,2 BED,1185,2,1,No,C,Maybe,408.5991561
11282,Extended Coverage,Ready To Move,Fingal,3 BED,1751,3,2,No,D,Yes,745.4311822
11283,Land Parcel,Ready To Move,Fingal,5 Bedroom,1550,3,1,No,B,Maybe,1830.645161
11284,Extended Coverage,Ready To Move,Fingal,3 BED,1880,3,2,No,G,Yes,582.5930851
11285,Extended Coverage,20-Dec,Dun Laoghaire,3 BED,1235 - 1410,3,0,No,G,Yes,
11286,Extended Coverage,Ready To Move,Fingal,2 BED,1175,2,2,No,D,Yes,367.0638298
11287,Constructed Space,Ready To Move,DCC,2 BED,1407,2,1,Yes,E,Yes,794.4996446
11288,Extended Coverage,Ready To Move,South Dublin,2 BED,1000,2,2,Yes,A,No,567.5
11289,Extended Coverage,Ready To Move,Dun Laoghaire,3 BED,1518,3,3,Yes,F,Yes,560.770751
11290,Land Parcel,Ready To Move,Other,4 Bedroom,3600,4,2,No,D,Yes,945.8333333
11291,Extended Coverage,18-May,Fingal,2 BED,1027,2,1,No,C,Maybe,740.4576436
11292,Extended Coverage,Ready To Move,South Dublin,4 BED,3730,6,2,No,D,Yes,1308.44504
11293,Constructed Space,Ready To Move,DCC,2 BED,1145,2,2,Yes,B,Maybe,455.9825328
11294,Extended Coverage,18-Aug,Fingal,2 BED,1260,2,2,No,C,Maybe,1017.896825
11295,Extended Coverage,Ready To Move,DCC,3 BED,1500,2,3,No,E,Yes,357.5246667
11296,Extended Coverage,Ready To Move,DCC,3 BED,1737,2,1,Yes,B,Maybe,374.5434657
11297,Extended Coverage,18-Dec,DCC,4 BED,3484 - 3550,,,No,C,Maybe,
